dataset,seed,method,batch,threshold,test_auc,test_average_precision,n,fail_n,auto_release_rate,inspection_rate,missed_failure_rate,false_accepts,inspected_failure_count,review_fail_capture,domain_auc,shift_flag,mean_density_weight,min_density_weight,median_density_weight,max_density_weight,low_clip_fraction,high_clip_fraction,gate_mode,minimum_failures
SECOM,7,Global-CP,12,0.20736203858061433,0.6638173302107728,0.12056159393382793,50.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,0.9967565973757924,1,,,,,,,,
SECOM,7,Global-CP,13,0.20736203858061433,0.6638173302107728,0.12056159393382793,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9927867160218368,1,,,,,,,,
SECOM,7,Global-CP,14,0.20736203858061433,0.6638173302107728,0.12056159393382793,50.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.9974937343358397,1,,,,,,,,
SECOM,7,Global-CP,15,0.20736203858061433,0.6638173302107728,0.12056159393382793,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9960011970224066,1,,,,,,,,
SECOM,7,Mondrian-CP,0,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,2.0,0.1,0.9,0.0,0.0,2.0,1.0,0.9545704279355105,1,,,,,,,,
SECOM,7,Mondrian-CP,1,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,1.0,0.06,0.94,0.0,0.0,1.0,1.0,0.9585405155777944,1,,,,,,,,
SECOM,7,Mondrian-CP,2,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,4.0,0.2,0.8,0.0,0.0,4.0,1.0,0.9779045946736904,1,,,,,,,,
SECOM,7,Mondrian-CP,3,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,0.0,0.24,0.76,0.0,0.0,0.0,0.0,0.9942422864668256,1,,,,,,,,
SECOM,7,Mondrian-CP,4,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,1.0,0.08,0.92,0.0,0.0,1.0,1.0,0.9961292745692149,1,,,,,,,,
SECOM,7,Mondrian-CP,5,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,1.0,0.02,0.98,0.0,0.0,1.0,1.0,0.9956280626940486,1,,,,,,,,
SECOM,7,Mondrian-CP,6,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,1.0,0.04,0.96,0.0,0.0,1.0,1.0,0.9921783029786934,1,,,,,,,,
SECOM,7,Mondrian-CP,7,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,3.0,0.08,0.92,0.3333333333333333,1.0,2.0,0.6666666666666666,0.996775300850898,1,,,,,,,,
SECOM,7,Mondrian-CP,8,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,5.0,0.04,0.96,0.0,0.0,5.0,1.0,0.9976920461821805,1,,,,,,,,
SECOM,7,Mondrian-CP,9,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,1.0,0.06,0.94,0.0,0.0,1.0,1.0,0.9971988795518207,1,,,,,,,,
SECOM,7,Mondrian-CP,10,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,9.0,0.08,0.92,0.0,0.0,9.0,1.0,0.994539754236337,1,,,,,,,,
SECOM,7,Mondrian-CP,11,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,3.0,0.06,0.94,0.0,0.0,3.0,1.0,0.9950061721467849,1,,,,,,,,
SECOM,7,Mondrian-CP,12,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,3.0,0.14,0.86,0.0,0.0,3.0,1.0,0.9967565973757924,1,,,,,,,,
SECOM,7,Mondrian-CP,13,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,0.0,0.32,0.68,0.0,0.0,0.0,0.0,0.9927867160218368,1,,,,,,,,
SECOM,7,Mondrian-CP,14,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,1.0,0.14,0.86,0.0,0.0,1.0,1.0,0.9974937343358397,1,,,,,,,,
SECOM,7,Mondrian-CP,15,0.10219235075210298,0.6638173302107728,0.12056159393382793,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9960011970224066,1,,,,,,,,
SECOM,7,Weighted-Mondrian,0,0.12196530198387778,0.6638173302107728,0.12056159393382793,50.0,2.0,0.22,0.78,0.0,0.0,2.0,1.0,0.9545704279355105,1,0.6109683968624506,0.05,0.43400467138525406,7.4434309173395174,0.0125,0.0,,
SECOM,7,Weighted-Mondrian,1,0.12196530198387778,0.6638173302107728,0.12056159393382793,50.0,1.0,0.26,0.74,0.0,0.0,1.0,1.0,0.9585405155777944,1,0.580411633563007,0.05,0.4216948977911289,4.588874094959471,0.0075,0.0,,
SECOM,7,Weighted-Mondrian,2,0.12196530198387778,0.6638173302107728,0.12056159393382793,50.0,4.0,0.4,0.6,0.0,0.0,4.0,1.0,0.9779045946736904,1,0.4703310128273098,0.05,0.36370554491364876,2.380456099412686,0.005,0.0,,
SECOM,7,Weighted-Mondrian,3,0.12196530198387778,0.6638173302107728,0.12056159393382793,50.0,0.0,0.44,0.56,0.0,0.0,0.0,0.0,0.9942422864668256,1,0.4608220378954613,0.05,0.38208732906022436,2.896878140746557,0.0075,0.0,,
SECOM,7,Weighted-Mondrian,4,0.10799144385026738,0.6638173302107728,0.12056159393382793,50.0,1.0,0.2,0.8,0.0,0.0,1.0,1.0,0.9961292745692149,1,0.4845551950290882,0.05,0.38469180726407975,3.3012918282755956,0.0075,0.0,,
SECOM,7,Weighted-Mondrian,5,0.10799144385026738,0.6638173302107728,0.12056159393382793,50.0,1.0,0.04,0.96,0.0,0.0,1.0,1.0,0.9956280626940486,1,0.46956390012354277,0.05,0.38273132859805936,2.636002965759938,0.005,0.0,,
SECOM,7,Weighted-Mondrian,6,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,1.0,0.04,0.96,0.0,0.0,1.0,1.0,0.9921783029786934,1,0.4727517820113051,0.05,0.382170639765417,2.3693538676505455,0.005,0.0,,
SECOM,7,Weighted-Mondrian,7,0.10799144385026738,0.6638173302107728,0.12056159393382793,50.0,3.0,0.1,0.9,0.3333333333333333,1.0,2.0,0.6666666666666666,0.996775300850898,1,0.46807632061835636,0.05,0.36881847783347493,2.5206321259436746,0.01,0.0,,
SECOM,7,Weighted-Mondrian,8,0.10799144385026738,0.6638173302107728,0.12056159393382793,50.0,5.0,0.06,0.94,0.0,0.0,5.0,1.0,0.9976920461821805,1,0.49319791971937993,0.05,0.401676015263598,3.4451338388147734,0.0025,0.0,,
SECOM,7,Weighted-Mondrian,9,0.10799144385026738,0.6638173302107728,0.12056159393382793,50.0,1.0,0.12,0.88,0.0,0.0,1.0,1.0,0.9971988795518207,1,0.4792178956619027,0.05,0.3969244607584481,2.2124511843265213,0.0025,0.0,,
SECOM,7,Weighted-Mondrian,10,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,9.0,0.08,0.92,0.0,0.0,9.0,1.0,0.994539754236337,1,0.4772096108994514,0.05,0.39910248208706445,2.778761576630255,0.0075,0.0,,
SECOM,7,Weighted-Mondrian,11,0.10799144385026738,0.6638173302107728,0.12056159393382793,50.0,3.0,0.1,0.9,0.0,0.0,3.0,1.0,0.9950061721467849,1,0.4692752731084467,0.05,0.40461320737041057,2.2131981312233786,0.01,0.0,,
SECOM,7,Weighted-Mondrian,12,0.10799144385026738,0.6638173302107728,0.12056159393382793,50.0,3.0,0.26,0.74,0.0,0.0,3.0,1.0,0.9967565973757924,1,0.46346231721892145,0.05,0.3816355434909815,2.115859056820393,0.0075,0.0,,
SECOM,7,Weighted-Mondrian,13,0.10799144385026738,0.6638173302107728,0.12056159393382793,50.0,0.0,0.34,0.66,0.0,0.0,0.0,0.0,0.9927867160218368,1,0.4541249802892142,0.05,0.3643829585788091,3.5802543109244755,0.0075,0.0,,
SECOM,7,Weighted-Mondrian,14,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,1.0,0.14,0.86,0.0,0.0,1.0,1.0,0.9974937343358397,1,0.4604487019532408,0.05,0.36383720803427444,2.304976692195074,0.005,0.0,,
SECOM,7,Weighted-Mondrian,15,0.10799144385026738,0.6638173302107728,0.12056159393382793,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9960011970224066,1,1.651338058240809,0.3963681974338625,1.534045640893841,5.493470819073555,0.0,0.0,,
SECOM,7,Periodic-Rolling-CP,0,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,2.0,0.1,0.9,0.0,0.0,2.0,1.0,0.9545704279355105,1,,,,,,,stable,5.0
SECOM,7,Periodic-Rolling-CP,1,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,1.0,0.06,0.94,0.0,0.0,1.0,1.0,0.9585405155777944,1,,,,,,,stable,5.0
SECOM,7,Periodic-Rolling-CP,2,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,4.0,0.2,0.8,0.0,0.0,4.0,1.0,0.9779045946736904,1,,,,,,,stable,5.0
