dataset,parameter,value,auto_release_rate_mean,inspection_rate_mean,missed_failure_rate_mean,missed_failure_rate_std
AI4I,class_weight,1:16,0.8936,0.10640000000000001,0.10625,0.0
AI4I,class_weight,1:32,0.8953,0.10470000000000002,0.10874999999999999,0.0055901699437494725
AI4I,class_weight,1:4,0.8950999999999999,0.10490000000000002,0.10625,0.008838834764831842
AI4I,class_weight,1:8,0.8888999999999999,0.11110000000000002,0.10124999999999999,0.006846531968814575
SECOM,class_weight,1:16,0.24820588235294117,0.7517941176470588,0.1358333333333333,0.07036473539816887
SECOM,class_weight,1:32,0.2701029411764706,0.7298970588235294,0.15,0.0257974661402871
SECOM,class_weight,1:4,0.055191176470588243,0.9448088235294116,0.004166666666666667,0.009316949906249122
SECOM,class_weight,1:8,0.17991176470588238,0.8200882352941175,0.03333333333333333,0.020483168338545316
