dataset,parameter,value,auto_release_rate_mean,inspection_rate_mean,missed_failure_rate_mean,missed_failure_rate_std
AI4I,batch_size,25,0.8987,0.10130000000000002,0.056874999999999995,0.003423265984407286
AI4I,batch_size,50,0.8888999999999999,0.11110000000000002,0.10124999999999999,0.006846531968814575
AI4I,batch_size,75,0.8781234567901235,0.12187654320987655,0.13148148148148148,0.010143010324169748
AI4I,batch_size,100,0.8654,0.1346,0.1325,0.009128709291752754
SECOM,batch_size,25,0.18834155597722962,0.8116584440227704,0.025806451612903226,0.010341604334231905
SECOM,batch_size,50,0.17991176470588238,0.8200882352941175,0.03333333333333333,0.020483168338545316
SECOM,batch_size,75,0.17102317290552585,0.8289768270944743,0.04567099567099567,0.0396994257657587
SECOM,batch_size,100,0.17425373134328356,0.8257462686567164,0.05625,0.04456093674209883
