dataset,method,auto_release_rate_mean,auto_release_rate_std,inspection_rate_mean,inspection_rate_std,missed_failure_rate_mean,missed_failure_rate_std,review_fail_capture_mean,review_fail_capture_std,threshold_mean,threshold_std,test_auc_mean,test_auc_std,test_average_precision_mean,test_average_precision_std
AI4I,DTCG-always-roll,0.9275,0.07191389323490284,0.0725,0.07191389323490283,0.11375,0.2833280987791168,0.48625,0.4796077097757935,0.0832544363020884,0.01080924033200575,0.9529138717817963,0.004243557499174284,0.6904396751843288,0.005892927860552831
AI4I,DTCG-min-failures-1,0.8889,0.1621922365837533,0.11109999999999999,0.16219223658375329,0.10125,0.2769375553220233,0.49875,0.48630587547613796,0.059969802739876565,0.013142928627560072,0.9529138717817963,0.004243557499174284,0.6904396751843288,0.005892927860552831
AI4I,DTCG-min-failures-10,0.8889,0.1621922365837533,0.11109999999999999,0.16219223658375329,0.10125,0.2769375553220233,0.49875,0.48630587547613796,0.059969802739876565,0.013142928627560072,0.9529138717817963,0.004243557499174284,0.6904396751843288,0.005892927860552831
AI4I,DTCG-no-first-shift-hold,0.9089,0.07943765925896054,0.0911,0.07943765925896049,0.10125,0.2769375553220233,0.49875,0.48630587547613796,0.061507489989616984,0.009061520838367757,0.9529138717817963,0.004243557499174284,0.6904396751843288,0.005892927860552831
AI4I,DTCG-no-rolling,0.8889,0.1621922365837533,0.11109999999999999,0.16219223658375329,0.10125,0.2769375553220233,0.49875,0.48630587547613796,0.059969802739876565,0.013142928627560072,0.9529138717817963,0.004243557499174284,0.6904396751843288,0.005892927860552831
SECOM,DTCG-always-roll,0.2929411764705882,0.17203621988469198,0.7070588235294117,0.172036219884692,0.08055555555555556,0.22079357929291704,0.7319444444444445,0.4152484066870502,0.12287049891540228,0.009828166384022112,0.673247462919594,0.03201473824562415,0.11320280428521541,0.012037778485690542
SECOM,DTCG-min-failures-1,0.17991176470588235,0.14029556079312575,0.8200882352941177,0.14029556079312577,0.03333333333333333,0.13276955350009692,0.7791666666666667,0.3990509721667747,0.10761757854650422,0.029085737292741994,0.673247462919594,0.03201473824562415,0.11320280428521541,0.012037778485690542
SECOM,DTCG-min-failures-10,0.17991176470588235,0.14029556079312575,0.8200882352941177,0.14029556079312577,0.03333333333333333,0.13276955350009692,0.7791666666666667,0.3990509721667747,0.10761757854650422,0.029085737292741994,0.673247462919594,0.03201473824562415,0.11320280428521541,0.012037778485690542
SECOM,DTCG-no-first-shift-hold,0.19191176470588237,0.13405053447487908,0.8080882352941176,0.13405053447487905,0.03333333333333333,0.13276955350009692,0.7791666666666667,0.3990509721667747,0.11479208378293784,0.008269060655120317,0.673247462919594,0.03201473824562415,0.11320280428521541,0.012037778485690542
SECOM,DTCG-no-rolling,0.17991176470588235,0.14029556079312575,0.8200882352941177,0.14029556079312577,0.03333333333333333,0.13276955350009692,0.7791666666666667,0.3990509721667747,0.10761757854650422,0.029085737292741994,0.673247462919594,0.03201473824562415,0.11320280428521541,0.012037778485690542
