lot_id,seed,batch,model_version,calibration_version,policy_version,domain_auc,gate_mode,threshold,auto_release_count,inspection_count,failure_count_observed_after_inspection,shift_flag
public-ai4i-seed-07,7,35,rf-v1,mondrian-alpha-0.10,dtcg-v1,1.0,shifted-rolling-calibration,0.0662168704138175,46,4,2,1
public-ai4i-seed-07,7,36,rf-v1,mondrian-alpha-0.10,dtcg-v1,1.0,shifted-rolling-calibration,0.0662168704138175,40,10,2,1
public-ai4i-seed-07,7,37,rf-v1,mondrian-alpha-0.10,dtcg-v1,1.0,shifted-rolling-calibration,0.0662168704138175,49,1,0,1
public-ai4i-seed-07,7,38,rf-v1,mondrian-alpha-0.10,dtcg-v1,1.0,shifted-rolling-calibration,0.0662168704138175,48,2,0,1
public-ai4i-seed-07,7,39,rf-v1,mondrian-alpha-0.10,dtcg-v1,1.0,shifted-rolling-calibration,0.0662168704138175,49,1,1,1
public-ai4i-seed-17,17,0,rf-v1,mondrian-alpha-0.10,dtcg-v1,0.9352701817700936,first-shift-hold,0.0,0,50,1,1
public-ai4i-seed-17,17,1,rf-v1,mondrian-alpha-0.10,dtcg-v1,0.9010387272359228,shifted-base-calibration,0.05408218736233905,46,4,0,1
public-ai4i-seed-17,17,2,rf-v1,mondrian-alpha-0.10,dtcg-v1,0.9276239816851864,shifted-base-calibration,0.05408218736233905,43,7,0,1
public-ai4i-seed-17,17,3,rf-v1,mondrian-alpha-0.10,dtcg-v1,0.9949746134705126,shifted-base-calibration,0.05408218736233905,39,11,3,1
public-ai4i-seed-17,17,4,rf-v1,mondrian-alpha-0.10,dtcg-v1,1.0,shifted-base-calibration,0.05408218736233905,42,8,1,1
public-ai4i-seed-17,17,5,rf-v1,mondrian-alpha-0.10,dtcg-v1,1.0,shifted-rolling-calibration,0.05408218736233905,39,11,0,1
public-ai4i-seed-17,17,6,rf-v1,mondrian-alpha-0.10,dtcg-v1,1.0,shifted-rolling-calibration,0.05408218736233905,46,4,1,1
public-ai4i-seed-17,17,7,rf-v1,mondrian-alpha-0.10,dtcg-v1,1.0,shifted-rolling-calibration,0.05408218736233905,40,10,2,1
public-ai4i-seed-17,17,8,rf-v1,mondrian-alpha-0.10,dtcg-v1,1.0,shifted-rolling-calibration,0.05408218736233905,43,7,1,1
public-ai4i-seed-17,17,9,rf-v1,mondrian-alpha-0.10,dtcg-v1,1.0,shifted-rolling-calibration,0.05408218736233905,46,4,0,1
public-ai4i-seed-17,17,10,rf-v1,mondrian-alpha-0.10,dtcg-v1,1.0,shifted-rolling-calibration,0.05408218736233905,47,3,0,1
public-ai4i-seed-17,17,11,rf-v1,mondrian-alpha-0.10,dtcg-v1,1.0,shifted-rolling-calibration,0.05408218736233905,47,3,1,1
public-ai4i-seed-17,17,12,rf-v1,mondrian-alpha-0.10,dtcg-v1,1.0,shifted-rolling-calibration,0.05408218736233905,44,6,2,1
