dataset,seed,method,batch,threshold,test_auc,test_average_precision,n,fail_n,auto_release_rate,inspection_rate,missed_failure_rate,false_accepts,inspected_failure_count,review_fail_capture,domain_auc,shift_flag,gate_mode,minimum_failures
SECOM,7,DTCG-no-rolling,9,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,1.0,0.06,0.94,0.0,0.0,1.0,1.0,0.9971988795518207,1,shifted-base-calibration,5
SECOM,7,DTCG-no-rolling,10,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,9.0,0.08,0.92,0.0,0.0,9.0,1.0,0.994539754236337,1,shifted-base-calibration,5
SECOM,7,DTCG-no-rolling,11,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,3.0,0.06,0.94,0.0,0.0,3.0,1.0,0.9950061721467849,1,shifted-base-calibration,5
SECOM,7,DTCG-no-rolling,12,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,3.0,0.14,0.86,0.0,0.0,3.0,1.0,0.9967565973757924,1,shifted-base-calibration,5
SECOM,7,DTCG-no-rolling,13,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,0.0,0.32,0.68,0.0,0.0,0.0,0.0,0.9927867160218368,1,shifted-base-calibration,5
SECOM,7,DTCG-no-rolling,14,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,1.0,0.14,0.86,0.0,0.0,1.0,1.0,0.9974937343358397,1,shifted-base-calibration,5
SECOM,7,DTCG-no-rolling,15,0.10219235075210298,0.6638173302107728,0.12056159393382793,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9960011970224066,1,shifted-base-calibration,5
SECOM,7,DTCG-always-roll,0,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,2.0,0.1,0.9,0.0,0.0,2.0,1.0,0.9545704279355105,1,stable,5
SECOM,7,DTCG-always-roll,1,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,1.0,0.06,0.94,0.0,0.0,1.0,1.0,0.9585405155777944,1,stable,5
SECOM,7,DTCG-always-roll,2,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,4.0,0.2,0.8,0.0,0.0,4.0,1.0,0.9779045946736904,1,stable,5
SECOM,7,DTCG-always-roll,3,0.10799144385026738,0.6638173302107728,0.12056159393382793,50.0,0.0,0.38,0.62,0.0,0.0,0.0,0.0,0.9942422864668256,1,rolling-calibration,5
SECOM,7,DTCG-always-roll,4,0.10799144385026738,0.6638173302107728,0.12056159393382793,50.0,1.0,0.2,0.8,0.0,0.0,1.0,1.0,0.9961292745692149,1,rolling-calibration,5
SECOM,7,DTCG-always-roll,5,0.10799144385026738,0.6638173302107728,0.12056159393382793,50.0,1.0,0.04,0.96,0.0,0.0,1.0,1.0,0.9956280626940486,1,rolling-calibration,5
SECOM,7,DTCG-always-roll,6,0.10799144385026738,0.6638173302107728,0.12056159393382793,50.0,1.0,0.04,0.96,0.0,0.0,1.0,1.0,0.9921783029786934,1,rolling-calibration,5
SECOM,7,DTCG-always-roll,7,0.10799144385026738,0.6638173302107728,0.12056159393382793,50.0,3.0,0.1,0.9,0.3333333333333333,1.0,2.0,0.6666666666666666,0.996775300850898,1,rolling-calibration,5
SECOM,7,DTCG-always-roll,8,0.10799144385026738,0.6638173302107728,0.12056159393382793,50.0,5.0,0.06,0.94,0.0,0.0,5.0,1.0,0.9976920461821805,1,rolling-calibration,5
SECOM,7,DTCG-always-roll,9,0.10799144385026738,0.6638173302107728,0.12056159393382793,50.0,1.0,0.12,0.88,0.0,0.0,1.0,1.0,0.9971988795518207,1,rolling-calibration,5
SECOM,7,DTCG-always-roll,10,0.10799144385026738,0.6638173302107728,0.12056159393382793,50.0,9.0,0.18,0.82,0.1111111111111111,1.0,8.0,0.8888888888888888,0.994539754236337,1,rolling-calibration,5
SECOM,7,DTCG-always-roll,11,0.11915201243201246,0.6638173302107728,0.12056159393382793,50.0,3.0,0.26,0.74,0.3333333333333333,1.0,2.0,0.6666666666666666,0.9950061721467849,1,rolling-calibration,5
SECOM,7,DTCG-always-roll,12,0.11915201243201246,0.6638173302107728,0.12056159393382793,50.0,3.0,0.42,0.58,0.0,0.0,3.0,1.0,0.9967565973757924,1,rolling-calibration,5
SECOM,7,DTCG-always-roll,13,0.11915201243201246,0.6638173302107728,0.12056159393382793,50.0,0.0,0.44,0.56,0.0,0.0,0.0,0.0,0.9927867160218368,1,rolling-calibration,5
SECOM,7,DTCG-always-roll,14,0.11915201243201246,0.6638173302107728,0.12056159393382793,50.0,1.0,0.36,0.64,1.0,1.0,0.0,0.0,0.9974937343358397,1,rolling-calibration,5
SECOM,7,DTCG-always-roll,15,0.10799144385026738,0.6638173302107728,0.12056159393382793,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9960011970224066,1,rolling-calibration,5
SECOM,7,DTCG-min-failures-1,0,0.0,0.6638173302107728,0.12056159393382793,50.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.9545704279355105,1,first-shift-hold,1
SECOM,7,DTCG-min-failures-1,1,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,1.0,0.06,0.94,0.0,0.0,1.0,1.0,0.9585405155777944,1,shifted-rolling-calibration,1
SECOM,7,DTCG-min-failures-1,2,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,4.0,0.2,0.8,0.0,0.0,4.0,1.0,0.9779045946736904,1,shifted-rolling-calibration,1
SECOM,7,DTCG-min-failures-1,3,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,0.0,0.24,0.76,0.0,0.0,0.0,0.0,0.9942422864668256,1,shifted-rolling-calibration,1
SECOM,7,DTCG-min-failures-1,4,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,1.0,0.08,0.92,0.0,0.0,1.0,1.0,0.9961292745692149,1,shifted-rolling-calibration,1
SECOM,7,DTCG-min-failures-1,5,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,1.0,0.02,0.98,0.0,0.0,1.0,1.0,0.9956280626940486,1,shifted-rolling-calibration,1
SECOM,7,DTCG-min-failures-1,6,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,1.0,0.04,0.96,0.0,0.0,1.0,1.0,0.9921783029786934,1,shifted-rolling-calibration,1
SECOM,7,DTCG-min-failures-1,7,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,3.0,0.08,0.92,0.3333333333333333,1.0,2.0,0.6666666666666666,0.996775300850898,1,shifted-rolling-calibration,1
SECOM,7,DTCG-min-failures-1,8,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,5.0,0.04,0.96,0.0,0.0,5.0,1.0,0.9976920461821805,1,shifted-rolling-calibration,1
SECOM,7,DTCG-min-failures-1,9,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,1.0,0.06,0.94,0.0,0.0,1.0,1.0,0.9971988795518207,1,shifted-rolling-calibration,1
SECOM,7,DTCG-min-failures-1,10,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,9.0,0.08,0.92,0.0,0.0,9.0,1.0,0.994539754236337,1,shifted-rolling-calibration,1
SECOM,7,DTCG-min-failures-1,11,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,3.0,0.06,0.94,0.0,0.0,3.0,1.0,0.9950061721467849,1,shifted-rolling-calibration,1
SECOM,7,DTCG-min-failures-1,12,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,3.0,0.14,0.86,0.0,0.0,3.0,1.0,0.9967565973757924,1,shifted-rolling-calibration,1
SECOM,7,DTCG-min-failures-1,13,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,0.0,0.32,0.68,0.0,0.0,0.0,0.0,0.9927867160218368,1,shifted-rolling-calibration,1
SECOM,7,DTCG-min-failures-1,14,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,1.0,0.14,0.86,0.0,0.0,1.0,1.0,0.9974937343358397,1,shifted-rolling-calibration,1
SECOM,7,DTCG-min-failures-1,15,0.10219235075210298,0.6638173302107728,0.12056159393382793,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9960011970224066,1,shifted-rolling-calibration,1
SECOM,7,DTCG-min-failures-10,0,0.0,0.6638173302107728,0.12056159393382793,50.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.9545704279355105,1,first-shift-hold,10
SECOM,7,DTCG-min-failures-10,1,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,1.0,0.06,0.94,0.0,0.0,1.0,1.0,0.9585405155777944,1,shifted-base-calibration,10
SECOM,7,DTCG-min-failures-10,2,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,4.0,0.2,0.8,0.0,0.0,4.0,1.0,0.9779045946736904,1,shifted-base-calibration,10
SECOM,7,DTCG-min-failures-10,3,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,0.0,0.24,0.76,0.0,0.0,0.0,0.0,0.9942422864668256,1,shifted-base-calibration,10
SECOM,7,DTCG-min-failures-10,4,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,1.0,0.08,0.92,0.0,0.0,1.0,1.0,0.9961292745692149,1,shifted-base-calibration,10
SECOM,7,DTCG-min-failures-10,5,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,1.0,0.02,0.98,0.0,0.0,1.0,1.0,0.9956280626940486,1,shifted-base-calibration,10
SECOM,7,DTCG-min-failures-10,6,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,1.0,0.04,0.96,0.0,0.0,1.0,1.0,0.9921783029786934,1,shifted-base-calibration,10
SECOM,7,DTCG-min-failures-10,7,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,3.0,0.08,0.92,0.3333333333333333,1.0,2.0,0.6666666666666666,0.996775300850898,1,shifted-base-calibration,10
SECOM,7,DTCG-min-failures-10,8,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,5.0,0.04,0.96,0.0,0.0,5.0,1.0,0.9976920461821805,1,shifted-base-calibration,10
SECOM,7,DTCG-min-failures-10,9,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,1.0,0.06,0.94,0.0,0.0,1.0,1.0,0.9971988795518207,1,shifted-base-calibration,10
SECOM,7,DTCG-min-failures-10,10,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,9.0,0.08,0.92,0.0,0.0,9.0,1.0,0.994539754236337,1,shifted-base-calibration,10
SECOM,7,DTCG-min-failures-10,11,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,3.0,0.06,0.94,0.0,0.0,3.0,1.0,0.9950061721467849,1,shifted-rolling-calibration,10
SECOM,7,DTCG-min-failures-10,12,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,3.0,0.14,0.86,0.0,0.0,3.0,1.0,0.9967565973757924,1,shifted-rolling-calibration,10
SECOM,7,DTCG-min-failures-10,13,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,0.0,0.32,0.68,0.0,0.0,0.0,0.0,0.9927867160218368,1,shifted-rolling-calibration,10
SECOM,7,DTCG-min-failures-10,14,0.10219235075210298,0.6638173302107728,0.12056159393382793,50.0,1.0,0.14,0.86,0.0,0.0,1.0,1.0,0.9974937343358397,1,shifted-rolling-calibration,10
SECOM,7,DTCG-min-failures-10,15,0.10219235075210298,0.6638173302107728,0.12056159393382793,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9960011970224066,1,shifted-rolling-calibration,10
