dataset,seed,method,batch,threshold,test_auc,test_average_precision,n,fail_n,auto_release_rate,inspection_rate,missed_failure_rate,false_accepts,inspected_failure_count,review_fail_capture,domain_auc,shift_flag,gate_mode,minimum_failures
SECOM,17,DTCG-no-first-shift-hold,0,0.11768610474492824,0.7056986729117877,0.13079104836351,50.0,2.0,0.24,0.76,0.0,0.0,2.0,1.0,0.9637407005221569,1,shifted-base-calibration,5
SECOM,17,DTCG-no-first-shift-hold,1,0.11768610474492824,0.7056986729117877,0.13079104836351,50.0,1.0,0.16,0.84,0.0,0.0,1.0,1.0,0.950356782540196,1,shifted-base-calibration,5
SECOM,17,DTCG-no-first-shift-hold,2,0.11768610474492824,0.7056986729117877,0.13079104836351,50.0,4.0,0.42,0.58,0.0,0.0,4.0,1.0,0.9993941999423493,1,shifted-base-calibration,5
SECOM,17,DTCG-no-first-shift-hold,3,0.11768610474492824,0.7056986729117877,0.13079104836351,50.0,0.0,0.38,0.62,0.0,0.0,0.0,0.0,0.992985027868178,1,shifted-rolling-calibration,5
SECOM,17,DTCG-no-first-shift-hold,4,0.11768610474492824,0.7056986729117877,0.13079104836351,50.0,1.0,0.2,0.8,0.0,0.0,1.0,1.0,0.9922237551737112,1,shifted-rolling-calibration,5
SECOM,17,DTCG-no-first-shift-hold,5,0.11768610474492824,0.7056986729117877,0.13079104836351,50.0,1.0,0.06,0.94,0.0,0.0,1.0,1.0,0.9939393864380001,1,shifted-rolling-calibration,5
SECOM,17,DTCG-no-first-shift-hold,6,0.11768610474492824,0.7056986729117877,0.13079104836351,50.0,1.0,0.02,0.98,0.0,0.0,1.0,1.0,0.9927947612666433,1,shifted-rolling-calibration,5
SECOM,17,DTCG-no-first-shift-hold,7,0.11768610474492824,0.7056986729117877,0.13079104836351,50.0,3.0,0.04,0.96,0.3333333333333333,1.0,2.0,0.6666666666666666,0.994711317362766,1,shifted-rolling-calibration,5
SECOM,17,DTCG-no-first-shift-hold,8,0.11768610474492824,0.7056986729117877,0.13079104836351,50.0,5.0,0.12,0.88,0.0,0.0,5.0,1.0,0.995882691254035,1,shifted-rolling-calibration,5
SECOM,17,DTCG-no-first-shift-hold,9,0.11768610474492824,0.7056986729117877,0.13079104836351,50.0,1.0,0.14,0.86,0.0,0.0,1.0,1.0,0.9946926138876604,1,shifted-rolling-calibration,5
SECOM,17,DTCG-no-first-shift-hold,10,0.11768610474492824,0.7056986729117877,0.13079104836351,50.0,9.0,0.18,0.82,0.1111111111111111,1.0,8.0,0.8888888888888888,0.9921863482234999,1,shifted-rolling-calibration,5
SECOM,17,DTCG-no-first-shift-hold,11,0.11768610474492824,0.7056986729117877,0.13079104836351,50.0,3.0,0.16,0.84,0.0,0.0,3.0,1.0,0.9941403112698338,1,shifted-rolling-calibration,5
SECOM,17,DTCG-no-first-shift-hold,12,0.11768610474492824,0.7056986729117877,0.13079104836351,50.0,3.0,0.32,0.68,0.0,0.0,3.0,1.0,0.9914679147385584,1,shifted-rolling-calibration,5
SECOM,17,DTCG-no-first-shift-hold,13,0.11768610474492824,0.7056986729117877,0.13079104836351,50.0,0.0,0.42,0.58,0.0,0.0,0.0,0.0,0.9808344390387734,1,shifted-rolling-calibration,5
SECOM,17,DTCG-no-first-shift-hold,14,0.11768610474492824,0.7056986729117877,0.13079104836351,50.0,1.0,0.26,0.74,0.0,0.0,1.0,1.0,0.9900927967416345,1,shifted-rolling-calibration,5
SECOM,17,DTCG-no-first-shift-hold,15,0.11768610474492824,0.7056986729117877,0.13079104836351,17.0,0.0,0.23529411764705882,0.7647058823529411,0.0,0.0,0.0,0.0,0.9950061721467849,1,shifted-rolling-calibration,5
SECOM,17,DTCG-no-rolling,0,0.0,0.7056986729117877,0.13079104836351,50.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.9637407005221569,1,first-shift-hold,5
SECOM,17,DTCG-no-rolling,1,0.11768610474492824,0.7056986729117877,0.13079104836351,50.0,1.0,0.16,0.84,0.0,0.0,1.0,1.0,0.950356782540196,1,shifted-base-calibration,5
SECOM,17,DTCG-no-rolling,2,0.11768610474492824,0.7056986729117877,0.13079104836351,50.0,4.0,0.42,0.58,0.0,0.0,4.0,1.0,0.9993941999423493,1,shifted-base-calibration,5
SECOM,17,DTCG-no-rolling,3,0.11768610474492824,0.7056986729117877,0.13079104836351,50.0,0.0,0.38,0.62,0.0,0.0,0.0,0.0,0.992985027868178,1,shifted-base-calibration,5
SECOM,17,DTCG-no-rolling,4,0.11768610474492824,0.7056986729117877,0.13079104836351,50.0,1.0,0.2,0.8,0.0,0.0,1.0,1.0,0.9922237551737112,1,shifted-base-calibration,5
SECOM,17,DTCG-no-rolling,5,0.11768610474492824,0.7056986729117877,0.13079104836351,50.0,1.0,0.06,0.94,0.0,0.0,1.0,1.0,0.9939393864380001,1,shifted-base-calibration,5
SECOM,17,DTCG-no-rolling,6,0.11768610474492824,0.7056986729117877,0.13079104836351,50.0,1.0,0.02,0.98,0.0,0.0,1.0,1.0,0.9927947612666433,1,shifted-base-calibration,5
SECOM,17,DTCG-no-rolling,7,0.11768610474492824,0.7056986729117877,0.13079104836351,50.0,3.0,0.04,0.96,0.3333333333333333,1.0,2.0,0.6666666666666666,0.994711317362766,1,shifted-base-calibration,5
SECOM,17,DTCG-no-rolling,8,0.11768610474492824,0.7056986729117877,0.13079104836351,50.0,5.0,0.12,0.88,0.0,0.0,5.0,1.0,0.995882691254035,1,shifted-base-calibration,5
SECOM,17,DTCG-no-rolling,9,0.11768610474492824,0.7056986729117877,0.13079104836351,50.0,1.0,0.14,0.86,0.0,0.0,1.0,1.0,0.9946926138876604,1,shifted-base-calibration,5
