dataset,parameter,value,auto_release_rate_mean,inspection_rate_mean,missed_failure_rate_mean,missed_failure_rate_std
AI4I,alpha,0.05,0.8114000000000001,0.18860000000000002,0.06375,0.020916500663351892
AI4I,alpha,0.1,0.8888999999999999,0.11110000000000002,0.10124999999999999,0.006846531968814575
AI4I,alpha,0.15,0.8779,0.12210000000000001,0.10124999999999999,0.006846531968814575
AI4I,alpha,0.2,0.8497,0.15030000000000002,0.09125,0.01369306393762915
SECOM,alpha,0.05,0.17991176470588238,0.8200882352941175,0.03333333333333333,0.020483168338545316
SECOM,alpha,0.1,0.17991176470588238,0.8200882352941175,0.03333333333333333,0.020483168338545316
SECOM,alpha,0.15,0.31020588235294116,0.6897941176470588,0.08888888888888889,0.10773964818080416
SECOM,alpha,0.2,0.3558676470588235,0.6441323529411764,0.1125,0.1038653048096903
